media_id,selected_rank,expected_sha256,source_observed_sha256,artifact_filename,artifact_sha256,size_bytes,shape,dtype
IMG_007419,1,1c6aa07c45f604e303d8ccb49e327f81d7e878cf37eb918018ac58c9290da44c,1c6aa07c45f604e303d8ccb49e327f81d7e878cf37eb918018ac58c9290da44c,IMG_007419__r01.npy,1c6aa07c45f604e303d8ccb49e327f81d7e878cf37eb918018ac58c9290da44c,147584,4x96x96,float32
IMG_007419,2,2a3ea89eeedc139c996464125291d4d6b041ac293ffdc832429254bfca95d0a4,2a3ea89eeedc139c996464125291d4d6b041ac293ffdc832429254bfca95d0a4,IMG_007419__r02.npy,2a3ea89eeedc139c996464125291d4d6b041ac293ffdc832429254bfca95d0a4,147584,4x96x96,float32
IMG_007421,1,9f4bd92817ab18dd3bb7f7b0703bc5d78d97cf102526d351fb1e6283ee7ba674,9f4bd92817ab18dd3bb7f7b0703bc5d78d97cf102526d351fb1e6283ee7ba674,IMG_007421__r01.npy,9f4bd92817ab18dd3bb7f7b0703bc5d78d97cf102526d351fb1e6283ee7ba674,147584,4x96x96,float32
IMG_007421,2,5db20c07c807f232f4800138d9a0af763ac98b28cecb6cc4faa58ec1106f4aa5,5db20c07c807f232f4800138d9a0af763ac98b28cecb6cc4faa58ec1106f4aa5,IMG_007421__r02.npy,5db20c07c807f232f4800138d9a0af763ac98b28cecb6cc4faa58ec1106f4aa5,147584,4x96x96,float32
IMG_007422,1,230fac138a0fa830e049f7abb2f2666ac55a7dff2fa3e6c757bec9ea909c3be9,230fac138a0fa830e049f7abb2f2666ac55a7dff2fa3e6c757bec9ea909c3be9,IMG_007422__r01.npy,230fac138a0fa830e049f7abb2f2666ac55a7dff2fa3e6c757bec9ea909c3be9,147584,4x96x96,float32
IMG_007424,1,0c10673cdb6ba94863ad23c53489a59241d2bd37731adbdaae7e8c5784635065,0c10673cdb6ba94863ad23c53489a59241d2bd37731adbdaae7e8c5784635065,IMG_007424__r01.npy,0c10673cdb6ba94863ad23c53489a59241d2bd37731adbdaae7e8c5784635065,147584,4x96x96,float32
IMG_007425,1,dcb622fa7a6548271aaf7bb13e875fc9cd26a3543a21e644041fb12c059c2882,dcb622fa7a6548271aaf7bb13e875fc9cd26a3543a21e644041fb12c059c2882,IMG_007425__r01.npy,dcb622fa7a6548271aaf7bb13e875fc9cd26a3543a21e644041fb12c059c2882,147584,4x96x96,float32
IMG_007427,1,0eb174a28bb26f06c7983e88008073e44ea7f273ebfa85e019b36793bc2b0f47,0eb174a28bb26f06c7983e88008073e44ea7f273ebfa85e019b36793bc2b0f47,IMG_007427__r01.npy,0eb174a28bb26f06c7983e88008073e44ea7f273ebfa85e019b36793bc2b0f47,147584,4x96x96,float32
IMG_007427,2,ffbf7180e03e76f08d477f5bc4913e40e6abea5a2b1e72f8587240cb5059505f,ffbf7180e03e76f08d477f5bc4913e40e6abea5a2b1e72f8587240cb5059505f,IMG_007427__r02.npy,ffbf7180e03e76f08d477f5bc4913e40e6abea5a2b1e72f8587240cb5059505f,147584,4x96x96,float32
IMG_007429,1,fe1a49bd28875284d0a69fde6d192251ba0cbc34195b8667a3ab7890f0b647d8,fe1a49bd28875284d0a69fde6d192251ba0cbc34195b8667a3ab7890f0b647d8,IMG_007429__r01.npy,fe1a49bd28875284d0a69fde6d192251ba0cbc34195b8667a3ab7890f0b647d8,147584,4x96x96,float32
